EndDate,RecordedDate,StartDate
End Date,Recorded Date,Start Date
"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}"
2021-03-29 11:05:10,2021-03-29 11:05:11,2021-03-29 10:59:08
2021-03-30 12:30:11,2021-03-30 12:30:13,2021-03-30 11:40:55
2021-03-30 13:21:26,2021-03-30 13:21:28,2021-03-30 13:11:05
2021-03-30 15:01:44,2021-03-30 15:01:45,2021-03-30 14:58:31
2021-03-30 16:31:50,2021-03-30 16:31:53,2021-03-30 15:40:12
2021-03-30 19:22:08,2021-03-30 19:22:10,2021-03-30 18:03:37
2021-03-30 20:13:54,2021-03-30 20:13:56,2021-03-30 19:26:53
2021-03-31 00:42:31,2021-03-31 00:42:34,2021-03-31 00:27:31
2021-03-31 21:34:15,2021-03-31 21:34:16,2021-03-31 20:37:52
2021-03-31 21:38:09,2021-03-31 21:38:10,2021-03-31 20:34:44
2021-03-31 21:41:22,2021-03-31 21:41:22,2021-03-31 20:33:33
2021-03-31 21:41:28,2021-03-31 21:41:29,2021-03-31 20:32:47
2021-03-31 21:41:44,2021-03-31 21:41:44,2021-03-31 20:36:36
2021-03-31 21:47:24,2021-03-31 21:47:25,2021-03-31 20:31:33
2021-03-31 21:58:08,2021-03-31 21:58:09,2021-03-31 20:42:47
2021-03-31 21:59:23,2021-03-31 21:59:24,2021-03-31 20:37:38
2021-03-31 22:07:58,2021-03-31 22:07:59,2021-03-31 20:53:38
2021-03-31 22:09:40,2021-03-31 22:09:41,2021-03-31 20:31:36
2021-03-31 22:21:46,2021-03-31 22:21:47,2021-03-31 21:08:28
2021-03-31 22:24:20,2021-03-31 22:24:21,2021-03-31 21:20:32
2021-03-31 22:27:51,2021-03-31 22:27:52,2021-03-31 20:31:33
2021-03-31 22:33:03,2021-03-31 22:33:03,2021-03-31 21:26:17
2021-03-31 22:35:55,2021-03-31 22:35:56,2021-03-31 20:33:56
2021-03-31 22:48:59,2021-03-31 22:49:00,2021-03-31 21:44:04
2021-03-31 22:59:13,2021-03-31 22:59:14,2021-03-31 22:19:05
2021-03-31 23:04:32,2021-03-31 23:04:33,2021-03-31 22:18:37
2021-03-31 23:12:18,2021-03-31 23:12:18,2021-03-31 21:54:32
2021-03-31 23:17:21,2021-03-31 23:17:21,2021-03-31 21:42:56
2021-03-31 23:17:23,2021-03-31 23:17:24,2021-03-31 22:30:05
2021-03-31 23:24:37,2021-03-31 23:24:37,2021-03-31 20:32:08
2021-03-31 23:50:41,2021-03-31 23:50:42,2021-03-31 21:39:17
2021-03-31 23:54:03,2021-03-31 23:54:04,2021-03-31 21:42:45
2021-04-01 00:19:09,2021-04-01 00:19:10,2021-03-31 23:20:13
2021-04-01 00:21:55,2021-04-01 00:21:56,2021-03-31 23:16:37
2021-04-01 00:33:35,2021-04-01 00:33:35,2021-03-31 22:55:07
2021-04-01 00:55:07,2021-04-01 00:55:08,2021-04-01 00:08:29
2021-04-01 01:29:39,2021-04-01 01:29:40,2021-03-31 23:59:47
2021-04-01 03:25:49,2021-04-01 03:25:50,2021-04-01 01:37:44
2021-04-01 03:36:05,2021-04-01 03:36:06,2021-04-01 00:03:38
2021-04-01 04:33:54,2021-04-01 04:33:55,2021-04-01 03:32:56
2021-04-01 04:45:14,2021-04-01 04:45:15,2021-04-01 03:22:35
2021-04-01 04:49:54,2021-04-01 04:49:54,2021-04-01 03:42:53
2021-04-01 05:30:16,2021-04-01 05:30:17,2021-04-01 04:52:01
2021-04-01 05:56:25,2021-04-01 05:56:26,2021-04-01 05:19:22
2021-04-01 05:57:50,2021-04-01 05:57:51,2021-04-01 04:38:43
2021-04-01 06:40:59,2021-04-01 06:40:59,2021-04-01 04:19:40
2021-04-01 07:37:27,2021-04-01 07:37:28,2021-04-01 05:50:31
2021-04-01 07:42:18,2021-04-01 07:42:19,2021-04-01 06:40:19
2021-04-01 08:04:18,2021-04-01 08:04:19,2021-04-01 06:33:51
2021-04-01 08:11:02,2021-04-01 08:11:03,2021-04-01 06:51:47
2021-04-01 08:11:53,2021-04-01 08:11:54,2021-04-01 06:34:20
2021-04-01 08:19:15,2021-04-01 08:19:16,2021-04-01 07:04:32
2021-04-01 08:33:07,2021-04-01 08:33:08,2021-04-01 06:40:45
2021-04-01 09:00:47,2021-04-01 09:00:49,2021-04-01 08:01:41
2021-04-01 11:37:57,2021-04-01 11:37:58,2021-04-01 08:17:19
2021-04-01 15:46:43,2021-04-01 15:46:44,2021-04-01 15:16:00
2021-04-01 15:57:32,2021-04-01 15:57:34,2021-04-01 12:44:45
2021-04-06 11:18:08,2021-04-06 11:18:09,2021-04-06 11:01:30
2021-04-06 17:11:41,2021-04-06 17:11:42,2021-04-06 16:36:03
2021-04-06 17:23:01,2021-04-06 17:23:01,2021-04-06 17:22:56
2021-04-06 17:32:37,2021-04-06 17:32:38,2021-04-06 17:32:12
2021-04-06 17:33:19,2021-04-06 17:33:19,2021-04-06 17:33:12
2021-04-06 17:34:27,2021-04-06 17:34:27,2021-04-06 17:34:23
2021-04-06 19:01:50,2021-04-06 19:01:51,2021-04-06 17:52:23
2021-03-30 19:08:36,2021-04-06 19:08:38,2021-03-30 19:02:10
2021-04-06 19:25:04,2021-04-06 19:25:05,2021-04-06 18:35:11
2021-04-06 21:21:28,2021-04-06 21:21:29,2021-04-06 20:08:49
2021-04-06 21:44:45,2021-04-06 21:44:46,2021-04-06 20:27:18
2021-04-06 22:28:42,2021-04-06 22:28:43,2021-04-06 21:16:01
2021-04-06 22:41:42,2021-04-06 22:41:43,2021-04-06 21:36:44
2021-04-06 22:49:13,2021-04-06 22:49:14,2021-04-06 22:04:43
2021-04-06 23:25:07,2021-04-06 23:25:08,2021-04-06 22:53:48
2021-04-06 23:26:01,2021-04-06 23:26:02,2021-04-06 22:21:52
2021-04-06 23:32:45,2021-04-06 23:32:46,2021-04-06 19:33:32
2021-04-07 00:26:53,2021-04-07 00:26:54,2021-04-06 23:35:44
2021-04-07 02:00:43,2021-04-07 02:00:44,2021-04-07 01:42:02
2021-04-07 03:38:49,2021-04-07 03:38:50,2021-04-06 19:05:06
2021-04-07 07:46:08,2021-04-07 07:46:10,2021-04-07 05:57:11
2021-04-07 09:13:59,2021-04-07 09:14:01,2021-04-07 08:57:34
2021-04-07 09:43:56,2021-04-07 09:43:57,2021-04-07 09:43:53
2021-04-07 10:03:24,2021-04-07 10:03:25,2021-04-07 10:03:15
2021-04-07 10:39:51,2021-04-07 10:39:52,2021-04-07 10:03:48
2021-04-07 11:17:20,2021-04-07 11:17:21,2021-04-07 11:12:04
2021-04-07 12:13:15,2021-04-07 12:13:16,2021-04-06 23:47:49
2021-04-07 12:25:38,2021-04-07 12:25:39,2021-04-07 11:59:18
2021-04-07 13:17:09,2021-04-07 13:17:10,2021-04-07 12:13:02
2021-04-07 15:41:02,2021-04-07 15:41:03,2021-04-07 14:48:15
2021-04-07 16:03:46,2021-04-07 16:03:46,2021-04-07 15:15:17
2021-04-07 16:14:07,2021-04-07 16:14:08,2021-04-07 15:15:30
2021-04-07 18:20:02,2021-04-07 18:20:03,2021-04-07 17:24:34
2021-04-07 19:02:51,2021-04-07 19:02:52,2021-04-07 18:38:07
2021-04-07 19:05:14,2021-04-07 19:05:15,2021-04-07 18:39:00
2021-04-07 19:06:42,2021-04-07 19:06:42,2021-04-07 18:40:31
2021-04-07 19:13:06,2021-04-07 19:13:06,2021-04-07 18:12:36
2021-04-07 19:14:13,2021-04-07 19:14:13,2021-04-07 18:37:48
2021-04-07 19:15:44,2021-04-07 19:15:45,2021-04-07 18:34:11
2021-04-07 19:19:28,2021-04-07 19:19:28,2021-04-07 18:12:18
2021-04-07 19:20:38,2021-04-07 19:20:39,2021-04-07 18:57:36
2021-04-07 19:23:32,2021-04-07 19:23:33,2021-04-07 18:41:07
2021-04-07 19:23:50,2021-04-07 19:23:50,2021-04-07 18:55:19
2021-04-07 19:27:03,2021-04-07 19:27:04,2021-04-07 18:38:41
2021-04-07 19:27:47,2021-04-07 19:27:48,2021-04-07 18:40:55
2021-04-07 19:29:56,2021-04-07 19:29:56,2021-04-07 18:53:47
2021-04-07 19:30:49,2021-04-07 19:30:50,2021-04-07 18:44:52
2021-04-07 19:32:13,2021-04-07 19:32:14,2021-04-07 18:53:29
2021-04-07 19:33:15,2021-04-07 19:33:16,2021-04-07 18:43:05
2021-04-07 19:33:20,2021-04-07 19:33:21,2021-04-07 18:50:28
2021-04-07 19:33:28,2021-04-07 19:33:29,2021-04-07 18:45:04
2021-04-07 19:34:52,2021-04-07 19:34:53,2021-04-07 18:28:17
2021-04-07 19:35:11,2021-04-07 19:35:11,2021-04-07 18:52:23
2021-04-07 19:35:13,2021-04-07 19:35:14,2021-04-07 17:43:36
2021-04-07 19:37:36,2021-04-07 19:37:37,2021-04-07 18:54:02
2021-04-07 19:37:39,2021-04-07 19:37:39,2021-04-07 18:22:15
2021-04-07 19:37:56,2021-04-07 19:37:56,2021-04-07 19:07:54
2021-04-07 19:38:17,2021-04-07 19:38:18,2021-04-07 18:47:53
2021-04-07 19:38:59,2021-04-07 19:39:00,2021-04-07 19:04:00
2021-04-07 19:41:16,2021-04-07 19:41:17,2021-04-07 18:54:20
2021-04-07 19:41:56,2021-04-07 19:41:56,2021-04-07 18:56:52
2021-04-07 19:42:02,2021-04-07 19:42:03,2021-04-07 18:51:57
2021-04-07 19:42:28,2021-04-07 19:42:29,2021-04-07 18:48:51
2021-04-07 19:43:48,2021-04-07 19:43:48,2021-04-07 18:53:46
2021-04-07 19:44:16,2021-04-07 19:44:17,2021-04-07 18:42:59
2021-04-07 19:45:39,2021-04-07 19:45:40,2021-04-07 18:46:35
2021-04-07 19:47:00,2021-04-07 19:47:00,2021-04-07 19:06:22
2021-04-07 19:47:12,2021-04-07 19:47:13,2021-04-07 18:49:20
2021-04-07 19:47:31,2021-04-07 19:47:31,2021-04-07 18:47:54
2021-04-07 19:47:32,2021-04-07 19:47:32,2021-04-07 18:45:55
2021-04-07 19:49:54,2021-04-07 19:49:55,2021-04-07 18:58:53
2021-04-07 19:50:37,2021-04-07 19:50:38,2021-04-07 19:20:54
2021-04-07 19:52:10,2021-04-07 19:52:11,2021-04-07 18:51:57
2021-04-07 19:52:37,2021-04-07 19:52:38,2021-04-07 19:00:32
2021-04-07 19:53:00,2021-04-07 19:53:01,2021-04-07 18:51:18
2021-04-07 19:53:32,2021-04-07 19:53:33,2021-04-07 19:36:00
2021-04-07 19:54:00,2021-04-07 19:54:01,2021-04-07 19:06:43
2021-04-07 19:54:43,2021-04-07 19:54:44,2021-04-07 18:50:59
2021-04-07 19:56:16,2021-04-07 19:56:16,2021-04-07 18:52:49
2021-04-07 19:56:21,2021-04-07 19:56:22,2021-04-07 18:35:24
2021-04-07 19:56:37,2021-04-07 19:56:38,2021-04-07 19:16:59
2021-04-07 19:57:34,2021-04-07 19:57:35,2021-04-07 19:05:03
2021-04-07 19:58:29,2021-04-07 19:58:30,2021-04-07 18:27:54
2021-04-07 19:59:36,2021-04-07 19:59:36,2021-04-07 18:51:14
2021-04-07 20:01:27,2021-04-07 20:01:27,2021-04-07 18:30:14
2021-04-07 20:01:28,2021-04-07 20:01:29,2021-04-07 18:44:57
2021-04-07 20:03:31,2021-04-07 20:03:32,2021-04-07 19:26:46
2021-04-07 20:03:43,2021-04-07 20:03:43,2021-04-07 19:28:57
2021-04-07 20:06:52,2021-04-07 20:06:53,2021-04-07 19:16:45
2021-04-07 20:06:55,2021-04-07 20:06:56,2021-04-07 19:02:01
2021-04-07 20:10:46,2021-04-07 20:10:46,2021-04-07 18:44:43
2021-04-07 20:12:28,2021-04-07 20:12:29,2021-04-07 18:57:12
2021-04-07 20:12:36,2021-04-07 20:12:37,2021-04-07 19:11:40
2021-04-07 20:14:01,2021-04-07 20:14:02,2021-04-07 19:08:42
2021-04-07 20:16:45,2021-04-07 20:16:46,2021-04-07 19:09:01
2021-04-07 20:17:01,2021-04-07 20:17:02,2021-04-07 18:46:54
2021-04-07 20:17:26,2021-04-07 20:17:26,2021-04-07 19:16:54
2021-04-07 20:20:20,2021-04-07 20:20:21,2021-04-07 19:08:48
2021-04-07 20:23:07,2021-04-07 20:23:08,2021-04-07 19:37:20
2021-04-07 20:26:29,2021-04-07 20:26:29,2021-04-07 19:10:23
2021-04-07 20:27:00,2021-04-07 20:27:00,2021-04-07 19:12:29
2021-04-07 20:30:52,2021-04-07 20:30:53,2021-04-07 19:41:25
2021-04-07 20:31:38,2021-04-07 20:31:39,2021-04-07 19:18:52
2021-04-07 20:32:13,2021-04-07 20:32:14,2021-04-07 19:36:58
2021-04-07 20:33:10,2021-04-07 20:33:11,2021-04-07 19:05:30
2021-04-07 20:34:31,2021-04-07 20:34:32,2021-04-07 19:25:46
2021-04-07 20:35:09,2021-04-07 20:35:09,2021-04-07 19:33:08
2021-04-07 20:36:24,2021-04-07 20:36:24,2021-04-07 18:55:46
2021-03-31 20:36:54,2021-04-07 20:36:57,2021-03-31 20:34:59
2021-04-07 20:36:56,2021-04-07 20:36:57,2021-04-07 19:50:21
2021-03-31 20:37:13,2021-04-07 20:37:17,2021-03-31 20:31:46
2021-03-31 20:37:15,2021-04-07 20:37:18,2021-03-31 20:34:10
2021-04-07 20:37:55,2021-04-07 20:37:56,2021-04-07 19:30:44
2021-04-07 20:37:56,2021-04-07 20:37:57,2021-04-07 19:29:57
2021-03-31 20:39:02,2021-04-07 20:39:04,2021-03-31 20:33:20
2021-04-07 20:40:48,2021-04-07 20:40:49,2021-04-07 18:51:49
2021-03-31 20:40:53,2021-04-07 20:40:54,2021-03-31 20:31:33
2021-04-07 20:42:05,2021-04-07 20:42:06,2021-04-07 19:34:06
2021-04-07 20:43:29,2021-04-07 20:43:30,2021-04-07 19:31:24
2021-04-07 20:44:39,2021-04-07 20:44:40,2021-04-07 18:40:33
2021-04-07 20:44:42,2021-04-07 20:44:43,2021-04-07 18:52:34
2021-04-07 20:45:29,2021-04-07 20:45:30,2021-04-07 19:52:00
2021-04-07 20:47:46,2021-04-07 20:47:47,2021-04-07 20:04:51
2021-04-07 20:50:18,2021-04-07 20:50:19,2021-04-07 19:55:28
