EndDate,RecordedDate,StartDate
End Date,Recorded Date,Start Date
"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}"
3/29/2021 11:05,3/29/2021 11:05,3/29/2021 10:59
3/30/2021 12:30,3/30/2021 12:30,3/30/2021 11:40
3/30/2021 13:21,3/30/2021 13:21,3/30/2021 13:11
3/30/2021 15:01,3/30/2021 15:01,3/30/2021 14:58
3/30/2021 16:31,3/30/2021 16:31,3/30/2021 15:40
3/30/2021 19:22,3/30/2021 19:22,3/30/2021 18:03
3/30/2021 20:13,3/30/2021 20:13,3/30/2021 19:26
3/31/2021 0:42,3/31/2021 0:42,3/31/2021 0:27
3/31/2021 21:34,3/31/2021 21:34,3/31/2021 20:37
3/31/2021 21:38,3/31/2021 21:38,3/31/2021 20:34
3/31/2021 21:41,3/31/2021 21:41,3/31/2021 20:33
3/31/2021 21:41,3/31/2021 21:41,3/31/2021 20:32
3/31/2021 21:41,3/31/2021 21:41,3/31/2021 20:36
3/31/2021 21:47,3/31/2021 21:47,3/31/2021 20:31
3/31/2021 21:58,3/31/2021 21:58,3/31/2021 20:42
3/31/2021 21:59,3/31/2021 21:59,3/31/2021 20:37
3/31/2021 22:07,3/31/2021 22:07,3/31/2021 20:53
3/31/2021 22:09,3/31/2021 22:09,3/31/2021 20:31
3/31/2021 22:21,3/31/2021 22:21,3/31/2021 21:08
3/31/2021 22:24,3/31/2021 22:24,3/31/2021 21:20
3/31/2021 22:27,3/31/2021 22:27,3/31/2021 20:31
3/31/2021 22:33,3/31/2021 22:33,3/31/2021 21:26
3/31/2021 22:35,3/31/2021 22:35,3/31/2021 20:33
3/31/2021 22:48,3/31/2021 22:49,3/31/2021 21:44
3/31/2021 22:59,3/31/2021 22:59,3/31/2021 22:19
3/31/2021 23:04,3/31/2021 23:04,3/31/2021 22:18
3/31/2021 23:12,3/31/2021 23:12,3/31/2021 21:54
3/31/2021 23:17,3/31/2021 23:17,3/31/2021 21:42
3/31/2021 23:17,3/31/2021 23:17,3/31/2021 22:30
3/31/2021 23:24,3/31/2021 23:24,3/31/2021 20:32
3/31/2021 23:50,3/31/2021 23:50,3/31/2021 21:39
3/31/2021 23:54,3/31/2021 23:54,3/31/2021 21:42
4/1/2021 0:19,4/1/2021 0:19,3/31/2021 23:20
4/1/2021 0:21,4/1/2021 0:21,3/31/2021 23:16
4/1/2021 0:33,4/1/2021 0:33,3/31/2021 22:55
4/1/2021 0:55,4/1/2021 0:55,4/1/2021 0:08
4/1/2021 1:29,4/1/2021 1:29,3/31/2021 23:59
4/1/2021 3:25,4/1/2021 3:25,4/1/2021 1:37
4/1/2021 3:36,4/1/2021 3:36,4/1/2021 0:03
4/1/2021 4:33,4/1/2021 4:33,4/1/2021 3:32
4/1/2021 4:45,4/1/2021 4:45,4/1/2021 3:22
4/1/2021 4:49,4/1/2021 4:49,4/1/2021 3:42
4/1/2021 5:30,4/1/2021 5:30,4/1/2021 4:52
4/1/2021 5:56,4/1/2021 5:56,4/1/2021 5:19
4/1/2021 5:57,4/1/2021 5:57,4/1/2021 4:38
4/1/2021 6:40,4/1/2021 6:40,4/1/2021 4:19
4/1/2021 7:37,4/1/2021 7:37,4/1/2021 5:50
4/1/2021 7:42,4/1/2021 7:42,4/1/2021 6:40
4/1/2021 8:04,4/1/2021 8:04,4/1/2021 6:33
4/1/2021 8:11,4/1/2021 8:11,4/1/2021 6:51
4/1/2021 8:11,4/1/2021 8:11,4/1/2021 6:34
4/1/2021 8:19,4/1/2021 8:19,4/1/2021 7:04
4/1/2021 8:33,4/1/2021 8:33,4/1/2021 6:40
4/1/2021 9:00,4/1/2021 9:00,4/1/2021 8:01
4/1/2021 11:37,4/1/2021 11:37,4/1/2021 8:17
4/1/2021 15:46,4/1/2021 15:46,4/1/2021 15:16
4/1/2021 15:57,4/1/2021 15:57,4/1/2021 12:44
4/6/2021 11:18,4/6/2021 11:18,4/6/2021 11:01
4/6/2021 17:11,4/6/2021 17:11,4/6/2021 16:36
4/6/2021 17:23,4/6/2021 17:23,4/6/2021 17:22
4/6/2021 17:32,4/6/2021 17:32,4/6/2021 17:32
4/6/2021 17:33,4/6/2021 17:33,4/6/2021 17:33
4/6/2021 17:34,4/6/2021 17:34,4/6/2021 17:34
4/6/2021 19:01,4/6/2021 19:01,4/6/2021 17:52
3/30/2021 19:08,4/6/2021 19:08,3/30/2021 19:02
4/6/2021 19:25,4/6/2021 19:25,4/6/2021 18:35
4/6/2021 21:21,4/6/2021 21:21,4/6/2021 20:08
4/6/2021 21:44,4/6/2021 21:44,4/6/2021 20:27
4/6/2021 22:28,4/6/2021 22:28,4/6/2021 21:16
4/6/2021 22:41,4/6/2021 22:41,4/6/2021 21:36
4/6/2021 22:49,4/6/2021 22:49,4/6/2021 22:04
4/6/2021 23:25,4/6/2021 23:25,4/6/2021 22:53
4/6/2021 23:26,4/6/2021 23:26,4/6/2021 22:21
4/6/2021 23:32,4/6/2021 23:32,4/6/2021 19:33
4/7/2021 0:26,4/7/2021 0:26,4/6/2021 23:35
4/7/2021 2:00,4/7/2021 2:00,4/7/2021 1:42
4/7/2021 3:38,4/7/2021 3:38,4/6/2021 19:05
4/7/2021 7:46,4/7/2021 7:46,4/7/2021 5:57
4/7/2021 9:13,4/7/2021 9:14,4/7/2021 8:57
4/7/2021 9:43,4/7/2021 9:43,4/7/2021 9:43
4/7/2021 10:03,4/7/2021 10:03,4/7/2021 10:03
4/7/2021 10:39,4/7/2021 10:39,4/7/2021 10:03
4/7/2021 11:17,4/7/2021 11:17,4/7/2021 11:12
4/7/2021 12:13,4/7/2021 12:13,4/6/2021 23:47
4/7/2021 12:25,4/7/2021 12:25,4/7/2021 11:59
4/7/2021 13:17,4/7/2021 13:17,4/7/2021 12:13
4/7/2021 15:41,4/7/2021 15:41,4/7/2021 14:48
4/7/2021 16:03,4/7/2021 16:03,4/7/2021 15:15
4/7/2021 16:14,4/7/2021 16:14,4/7/2021 15:15
4/7/2021 18:20,4/7/2021 18:20,4/7/2021 17:24
4/7/2021 19:02,4/7/2021 19:02,4/7/2021 18:38
4/7/2021 19:05,4/7/2021 19:05,4/7/2021 18:39
4/7/2021 19:06,4/7/2021 19:06,4/7/2021 18:40
4/7/2021 19:13,4/7/2021 19:13,4/7/2021 18:12
4/7/2021 19:14,4/7/2021 19:14,4/7/2021 18:37
4/7/2021 19:15,4/7/2021 19:15,4/7/2021 18:34
4/7/2021 19:19,4/7/2021 19:19,4/7/2021 18:12
4/7/2021 19:20,4/7/2021 19:20,4/7/2021 18:57
4/7/2021 19:23,4/7/2021 19:23,4/7/2021 18:41
4/7/2021 19:23,4/7/2021 19:23,4/7/2021 18:55
4/7/2021 19:27,4/7/2021 19:27,4/7/2021 18:38
4/7/2021 19:27,4/7/2021 19:27,4/7/2021 18:40
4/7/2021 19:29,4/7/2021 19:29,4/7/2021 18:53
4/7/2021 19:30,4/7/2021 19:30,4/7/2021 18:44
4/7/2021 19:32,4/7/2021 19:32,4/7/2021 18:53
4/7/2021 19:33,4/7/2021 19:33,4/7/2021 18:43
4/7/2021 19:33,4/7/2021 19:33,4/7/2021 18:50
4/7/2021 19:33,4/7/2021 19:33,4/7/2021 18:45
4/7/2021 19:34,4/7/2021 19:34,4/7/2021 18:28
4/7/2021 19:35,4/7/2021 19:35,4/7/2021 18:52
4/7/2021 19:35,4/7/2021 19:35,4/7/2021 17:43
4/7/2021 19:37,4/7/2021 19:37,4/7/2021 18:54
4/7/2021 19:37,4/7/2021 19:37,4/7/2021 18:22
4/7/2021 19:37,4/7/2021 19:37,4/7/2021 19:07
4/7/2021 19:38,4/7/2021 19:38,4/7/2021 18:47
4/7/2021 19:38,4/7/2021 19:39,4/7/2021 19:04
4/7/2021 19:41,4/7/2021 19:41,4/7/2021 18:54
4/7/2021 19:41,4/7/2021 19:41,4/7/2021 18:56
4/7/2021 19:42,4/7/2021 19:42,4/7/2021 18:51
4/7/2021 19:42,4/7/2021 19:42,4/7/2021 18:48
4/7/2021 19:43,4/7/2021 19:43,4/7/2021 18:53
4/7/2021 19:44,4/7/2021 19:44,4/7/2021 18:42
4/7/2021 19:45,4/7/2021 19:45,4/7/2021 18:46
4/7/2021 19:47,4/7/2021 19:47,4/7/2021 19:06
4/7/2021 19:47,4/7/2021 19:47,4/7/2021 18:49
4/7/2021 19:47,4/7/2021 19:47,4/7/2021 18:47
4/7/2021 19:47,4/7/2021 19:47,4/7/2021 18:45
4/7/2021 19:49,4/7/2021 19:49,4/7/2021 18:58
4/7/2021 19:50,4/7/2021 19:50,4/7/2021 19:20
4/7/2021 19:52,4/7/2021 19:52,4/7/2021 18:51
4/7/2021 19:52,4/7/2021 19:52,4/7/2021 19:00
4/7/2021 19:53,4/7/2021 19:53,4/7/2021 18:51
4/7/2021 19:53,4/7/2021 19:53,4/7/2021 19:36
4/7/2021 19:54,4/7/2021 19:54,4/7/2021 19:06
4/7/2021 19:54,4/7/2021 19:54,4/7/2021 18:50
4/7/2021 19:56,4/7/2021 19:56,4/7/2021 18:52
4/7/2021 19:56,4/7/2021 19:56,4/7/2021 18:35
4/7/2021 19:56,4/7/2021 19:56,4/7/2021 19:16
4/7/2021 19:57,4/7/2021 19:57,4/7/2021 19:05
4/7/2021 19:58,4/7/2021 19:58,4/7/2021 18:27
4/7/2021 19:59,4/7/2021 19:59,4/7/2021 18:51
4/7/2021 20:01,4/7/2021 20:01,4/7/2021 18:30
4/7/2021 20:01,4/7/2021 20:01,4/7/2021 18:44
4/7/2021 20:03,4/7/2021 20:03,4/7/2021 19:26
4/7/2021 20:03,4/7/2021 20:03,4/7/2021 19:28
4/7/2021 20:06,4/7/2021 20:06,4/7/2021 19:16
4/7/2021 20:06,4/7/2021 20:06,4/7/2021 19:02
4/7/2021 20:10,4/7/2021 20:10,4/7/2021 18:44
4/7/2021 20:12,4/7/2021 20:12,4/7/2021 18:57
4/7/2021 20:12,4/7/2021 20:12,4/7/2021 19:11
4/7/2021 20:14,4/7/2021 20:14,4/7/2021 19:08
4/7/2021 20:16,4/7/2021 20:16,4/7/2021 19:09
4/7/2021 20:17,4/7/2021 20:17,4/7/2021 18:46
4/7/2021 20:17,4/7/2021 20:17,4/7/2021 19:16
4/7/2021 20:20,4/7/2021 20:20,4/7/2021 19:08
4/7/2021 20:23,4/7/2021 20:23,4/7/2021 19:37
4/7/2021 20:26,4/7/2021 20:26,4/7/2021 19:10
4/7/2021 20:27,4/7/2021 20:27,4/7/2021 19:12
4/7/2021 20:30,4/7/2021 20:30,4/7/2021 19:41
4/7/2021 20:31,4/7/2021 20:31,4/7/2021 19:18
4/7/2021 20:32,4/7/2021 20:32,4/7/2021 19:36
4/7/2021 20:33,4/7/2021 20:33,4/7/2021 19:05
4/7/2021 20:34,4/7/2021 20:34,4/7/2021 19:25
4/7/2021 20:35,4/7/2021 20:35,4/7/2021 19:33
4/7/2021 20:36,4/7/2021 20:36,4/7/2021 18:55
3/31/2021 20:36,4/7/2021 20:36,3/31/2021 20:34
4/7/2021 20:36,4/7/2021 20:36,4/7/2021 19:50
3/31/2021 20:37,4/7/2021 20:37,3/31/2021 20:31
3/31/2021 20:37,4/7/2021 20:37,3/31/2021 20:34
4/7/2021 20:37,4/7/2021 20:37,4/7/2021 19:30
4/7/2021 20:37,4/7/2021 20:37,4/7/2021 19:29
3/31/2021 20:39,4/7/2021 20:39,3/31/2021 20:33
4/7/2021 20:40,4/7/2021 20:40,4/7/2021 18:51
3/31/2021 20:40,4/7/2021 20:40,3/31/2021 20:31
4/7/2021 20:42,4/7/2021 20:42,4/7/2021 19:34
4/7/2021 20:43,4/7/2021 20:43,4/7/2021 19:31
4/7/2021 20:44,4/7/2021 20:44,4/7/2021 18:40
4/7/2021 20:44,4/7/2021 20:44,4/7/2021 18:52
4/7/2021 20:45,4/7/2021 20:45,4/7/2021 19:52
4/7/2021 20:47,4/7/2021 20:47,4/7/2021 20:04
4/7/2021 20:50,4/7/2021 20:50,4/7/2021 19:55
4/7/2021 20:53,4/7/2021 20:53,4/7/2021 19:49
4/7/2021 20:55,4/7/2021 20:55,4/7/2021 19:58
4/7/2021 20:56,4/7/2021 20:56,4/7/2021 19:51
4/7/2021 20:56,4/7/2021 20:56,4/7/2021 20:04
4/7/2021 20:57,4/7/2021 20:57,4/7/2021 20:12
4/7/2021 20:58,4/7/2021 20:58,4/7/2021 19:52
4/7/2021 20:58,4/7/2021 20:58,4/7/2021 18:58
4/7/2021 20:59,4/7/2021 20:59,4/7/2021 20:03
3/31/2021 20:59,4/7/2021 20:59,3/31/2021 20:56
4/7/2021 21:02,4/7/2021 21:02,4/7/2021 19:48
4/7/2021 21:03,4/7/2021 21:03,4/7/2021 20:24
4/7/2021 21:03,4/7/2021 21:03,4/7/2021 20:15
3/31/2021 21:10,4/7/2021 21:10,3/31/2021 20:34
4/7/2021 21:10,4/7/2021 21:10,4/7/2021 18:49
4/7/2021 21:10,4/7/2021 21:10,4/7/2021 19:54
4/7/2021 21:13,4/7/2021 21:13,4/7/2021 19:43
4/7/2021 21:13,4/7/2021 21:13,4/7/2021 20:40
4/7/2021 21:14,4/7/2021 21:14,4/7/2021 20:10
4/7/2021 21:15,4/7/2021 21:15,4/7/2021 19:45
4/7/2021 21:15,4/7/2021 21:15,4/7/2021 19:18
4/7/2021 21:16,4/7/2021 21:16,4/7/2021 19:08
4/7/2021 21:16,4/7/2021 21:16,4/7/2021 20:07
4/7/2021 21:20,4/7/2021 21:20,4/7/2021 20:32
4/7/2021 21:21,4/7/2021 21:21,4/7/2021 18:47
4/7/2021 21:25,4/7/2021 21:25,4/7/2021 20:41
4/7/2021 21:26,4/7/2021 21:26,4/7/2021 20:07
4/7/2021 21:27,4/7/2021 21:27,4/7/2021 19:41
4/7/2021 21:28,4/7/2021 21:28,4/7/2021 18:58
4/7/2021 21:28,4/7/2021 21:28,4/7/2021 19:49
4/7/2021 21:29,4/7/2021 21:29,4/7/2021 19:57
4/7/2021 21:31,4/7/2021 21:31,4/7/2021 19:55
4/7/2021 21:35,4/7/2021 21:35,4/7/2021 20:52
4/7/2021 21:36,4/7/2021 21:36,4/7/2021 20:50
