StartDate
Start Date
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}"
2021-03-29 10:59:08
2021-03-30 11:40:55
2021-03-30 13:11:05
2021-03-30 14:58:31
2021-03-30 15:40:12
2021-03-30 18:03:37
2021-03-30 19:26:53
2021-03-31 00:27:31
2021-03-31 20:37:52
2021-03-31 20:34:44
2021-03-31 20:33:33
2021-03-31 20:32:47
2021-03-31 20:36:36
2021-03-31 20:31:33
2021-03-31 20:42:47
2021-03-31 20:37:38
2021-03-31 20:53:38
2021-03-31 20:31:36
2021-03-31 21:08:28
2021-03-31 21:20:32
2021-03-31 20:31:33
2021-03-31 21:26:17
2021-03-31 20:33:56
2021-03-31 21:44:04
2021-03-31 22:19:05
2021-03-31 22:18:37
2021-03-31 21:54:32
2021-03-31 21:42:56
2021-03-31 22:30:05
2021-03-31 20:32:08
2021-03-31 21:39:17
2021-03-31 21:42:45
2021-03-31 23:20:13
2021-03-31 23:16:37
2021-03-31 22:55:07
2021-04-01 00:08:29
2021-03-31 23:59:47
2021-04-01 01:37:44
2021-04-01 00:03:38
2021-04-01 03:32:56
2021-04-01 03:22:35
2021-04-01 03:42:53
2021-04-01 04:52:01
2021-04-01 05:19:22
2021-04-01 04:38:43
2021-04-01 04:19:40
2021-04-01 05:50:31
2021-04-01 06:40:19
2021-04-01 06:33:51
2021-04-01 06:51:47
2021-04-01 06:34:20
2021-04-01 07:04:32
2021-04-01 06:40:45
2021-04-01 08:01:41
2021-04-01 08:17:19
2021-04-01 15:16:00
2021-04-01 12:44:45
2021-04-06 11:01:30
2021-04-06 16:36:03
2021-04-06 17:22:56
2021-04-06 17:32:12
2021-04-06 17:33:12
2021-04-06 17:34:23
2021-04-06 17:52:23
2021-03-30 19:02:10
2021-04-06 18:35:11
2021-04-06 20:08:49
2021-04-06 20:27:18
2021-04-06 21:16:01
2021-04-06 21:36:44
2021-04-06 22:04:43
2021-04-06 22:53:48
2021-04-06 22:21:52
2021-04-06 19:33:32
2021-04-06 23:35:44
2021-04-07 01:42:02
2021-04-06 19:05:06
2021-04-07 05:57:11
2021-04-07 08:57:34
2021-04-07 09:43:53
2021-04-07 10:03:15
2021-04-07 10:03:48
2021-04-07 11:12:04
2021-04-06 23:47:49
2021-04-07 11:59:18
2021-04-07 12:13:02
2021-04-07 14:48:15
2021-04-07 15:15:17
2021-04-07 15:15:30
2021-04-07 17:24:34
2021-04-07 18:38:07
2021-04-07 18:39:00
2021-04-07 18:40:31
2021-04-07 18:12:36
2021-04-07 18:37:48
2021-04-07 18:34:11
2021-04-07 18:12:18
