StartDate,EndDate,Q2.1,Q2.8,Q2.14,Q117.2,Q117.3,Q117.4,Q117.5,Q117.6,Q118.3,Q118.4,Q118.1_Page Submit,Q120.3,Q120.4,Q120.5,Q120.6,Q120.7,Q120.8,Q120.9,Q120.10,Q120.11,Q120.12,Q120.13,Q120.14,Q120.15,Q120.16,Q120.17,Q120.18,Q121.1,Q122.2,Q122.3,Q124.2,Q124.3,Q124.4,Q124.5,Q124.6,Q125.1_Page Submit,Q125.3,Q125.4,Q127.3,Q127.4,Q127.5,Q127.6,Q127.7,Q127.8,Q127.9,Q127.10,Q127.11,Q127.12,Q127.13,Q127.14,Q127.15,Q127.16,Q127.17,Q127.18,Q128.1,Q129.2,Q129.3,Q131.2,Q131.3,Q131.4,Q131.5,Q131.6,Q132.1_Page Submit,Q132.3,Q132.4,Q134.3,Q134.4,Q134.5,Q134.6,Q134.7,Q134.8,Q134.9,Q134.10,Q134.11,Q134.12,Q134.13,Q134.14,Q134.15,Q134.16,Q134.17,Q134.18,Q135.1,Q136.2,Q136.3,Q138.2,Q138.3,Q138.4,Q138.5,Q138.6,Q139.1_Page Submit,Q139.3,Q139.4,Q141.3,Q141.4,Q141.5,Q141.6,Q141.7,Q141.8,Q141.9,Q141.10,Q141.11,Q141.12,Q141.13,Q141.14,Q141.15,Q141.16,Q141.17,Q141.18,Q142.1,Q143.2,Q143.3,Q144.1,Q144.2
Start Date,End Date,What year were you born?,What is your primary role at UC Berkeley?,"What is the highest degree or level of school you have completed? If currently enrolled, highest degree received.","According to the experiment described above, whether the author’s ravens continued to show interest in a formerly new object was dictated primarily by whether that object was",What behavior did the ravens most show in the passage?,"Within Passage 1, the main purpose of the first two paragraphs is to","In Passage 1, Zoologist Sara Shettleworth states, “We somehow want to prove they are as ‘smart’ as people,” while Researcher Russell Gray claims, “I had a go, and I couldn’t do it.”  Select the answer choice that mentions figurative language","One difference between the experiments described in the two passages is that unlike the researchers discussed in Passage 1, the author of Passage 2",How many differences are there?,"Describe the each difference using one word. Eg. ""book,smile,scales""",Timing - Page Submit,What digit was at position 1 on the above matrix?,What digit was at position 2 on the above matrix?,What digit was at position 3 on the above matrix?,What digit was at position 4 on the above matrix?,What digit was at position 5 on the above matrix?,What digit was at position 6 on the above matrix?,What digit was at position 7 on the above matrix?,What digit was at position 8 on the above matrix?,What digit was at position 9 on the above matrix?,What digit was at position 10 on the above matrix?,What digit was at position 11 on the above matrix?,What digit was at position 12 on the above matrix?,What digit was at position 13 on the above matrix?,What digit was at position 14 on the above matrix?,What digit was at position 15 on the above matrix?,What digit was at position 16 on the above matrix?,What comes next?,Q122.2,"Please select the option labeled ""C""","According to the experiment described above, whether the author’s ravens continued to show interest in a formerly new object was dictated primarily by whether that object was",What behavior did the ravens most show in the passage?,"Within Passage 1, the main purpose of the first two paragraphs is to","In Passage 1, Zoologist Sara Shettleworth states, “We somehow want to prove they are as ‘smart’ as people,” while Researcher Russell Gray claims, “I had a go, and I couldn’t do it.”  Select the answer choice that mentions figurative language","One difference between the experiments described in the two passages is that unlike the researchers discussed in Passage 1, the author of Passage 2",Timing - Page Submit,How many differences are there?,"Describe the each difference using one word. Eg. ""book,smile,scales""",What digit was at position 1 on the above matrix?,What digit was at position 2 on the above matrix?,What digit was at position 3 on the above matrix?,What digit was at position 4 on the above matrix?,What digit was at position 5 on the above matrix?,What digit was at position 6 on the above matrix?,What digit was at position 7 on the above matrix?,What digit was at position 8 on the above matrix?,What digit was at position 9 on the above matrix?,What digit was at position 10 on the above matrix?,What digit was at position 11 on the above matrix?,What digit was at position 12 on the above matrix?,What digit was at position 13 on the above matrix?,What digit was at position 14 on the above matrix?,What digit was at position 15 on the above matrix?,What digit was at position 16 on the above matrix?,What comes next?,Q129.2,"Please select the option labeled ""C""","According to the experiment described above, whether the author’s ravens continued to show interest in a formerly new object was dictated primarily by whether that object was",What behavior did the ravens most show in the passage?,"Within Passage 1, the main purpose of the first two paragraphs is to","In Passage 1, Zoologist Sara Shettleworth states, “We somehow want to prove they are as ‘smart’ as people,” while Researcher Russell Gray claims, “I had a go, and I couldn’t do it.”  Select the answer choice that mentions figurative language","One difference between the experiments described in the two passages is that unlike the researchers discussed in Passage 1, the author of Passage 2",Timing - Page Submit,How many differences are there?,"Describe the each difference using one word. Eg. ""book,smile,scales""",What digit was at position 1 on the above matrix?,What digit was at position 2 on the above matrix?,What digit was at position 3 on the above matrix?,What digit was at position 4 on the above matrix?,What digit was at position 5 on the above matrix?,What digit was at position 6 on the above matrix?,What digit was at position 7 on the above matrix?,What digit was at position 8 on the above matrix?,What digit was at position 9 on the above matrix?,What digit was at position 10 on the above matrix?,What digit was at position 11 on the above matrix?,What digit was at position 12 on the above matrix?,What digit was at position 13 on the above matrix?,What digit was at position 14 on the above matrix?,What digit was at position 15 on the above matrix?,What digit was at position 16 on the above matrix?,What comes next?,Q136.2,"Please select the option labeled ""C""","According to the experiment described above, whether the author’s ravens continued to show interest in a formerly new object was dictated primarily by whether that object was",What behavior did the ravens most show in the passage?,"Within Passage 1, the main purpose of the first two paragraphs is to","In Passage 1, Zoologist Sara Shettleworth states, “We somehow want to prove they are as ‘smart’ as people,” while Researcher Russell Gray claims, “I had a go, and I couldn’t do it.”  Select the answer choice that mentions figurative language","One difference between the experiments described in the two passages is that unlike the researchers discussed in Passage 1, the author of Passage 2",Timing - Page Submit,How many differences are there?,"Describe the each difference using one word. Eg. ""book,smile,scales""",What digit was at position 1 on the above matrix?,What digit was at position 2 on the above matrix?,What digit was at position 3 on the above matrix?,What digit was at position 4 on the above matrix?,What digit was at position 5 on the above matrix?,What digit was at position 6 on the above matrix?,What digit was at position 7 on the above matrix?,What digit was at position 8 on the above matrix?,What digit was at position 9 on the above matrix?,What digit was at position 10 on the above matrix?,What digit was at position 11 on the above matrix?,What digit was at position 12 on the above matrix?,What digit was at position 13 on the above matrix?,What digit was at position 14 on the above matrix?,What digit was at position 15 on the above matrix?,What digit was at position 16 on the above matrix?,What comes next?,Q143.2,"Please select the option labeled ""C""",Rate the timing of the survey,Rate the difficulty of the survey
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""QID214_TEXT""}","{""ImportId"":""QID766""}","{""ImportId"":""QID341""}","{""ImportId"":""QID560""}","{""ImportId"":""QID561""}","{""ImportId"":""QID562""}","{""ImportId"":""QID563""}","{""ImportId"":""QID564""}","{""ImportId"":""QID614_TEXT""}","{""ImportId"":""QID615_TEXT""}","{""ImportId"":""QID612_PAGE_SUBMIT""}","{""ImportId"":""QID592_TEXT""}","{""ImportId"":""QID593_TEXT""}","{""ImportId"":""QID594_TEXT""}","{""ImportId"":""QID595_TEXT""}","{""ImportId"":""QID596_TEXT""}","{""ImportId"":""QID597_TEXT""}","{""ImportId"":""QID598_TEXT""}","{""ImportId"":""QID599_TEXT""}","{""ImportId"":""QID600_TEXT""}","{""ImportId"":""QID601_TEXT""}","{""ImportId"":""QID602_TEXT""}","{""ImportId"":""QID603_TEXT""}","{""ImportId"":""QID604_TEXT""}","{""ImportId"":""QID605_TEXT""}","{""ImportId"":""QID606_TEXT""}","{""ImportId"":""QID607_TEXT""}","{""ImportId"":""QID620""}","{""ImportId"":""QID701""}","{""ImportId"":""QID702""}","{""ImportId"":""QID655""}","{""ImportId"":""QID656""}","{""ImportId"":""QID657""}","{""ImportId"":""QID658""}","{""ImportId"":""QID659""}","{""ImportId"":""QID616_PAGE_SUBMIT""}","{""ImportId"":""QID618_TEXT""}","{""ImportId"":""QID619_TEXT""}","{""ImportId"":""QID573_TEXT""}","{""ImportId"":""QID574_TEXT""}","{""ImportId"":""QID575_TEXT""}","{""ImportId"":""QID576_TEXT""}","{""ImportId"":""QID577_TEXT""}","{""ImportId"":""QID578_TEXT""}","{""ImportId"":""QID579_TEXT""}","{""ImportId"":""QID580_TEXT""}","{""ImportId"":""QID581_TEXT""}","{""ImportId"":""QID582_TEXT""}","{""ImportId"":""QID583_TEXT""}","{""ImportId"":""QID584_TEXT""}","{""ImportId"":""QID585_TEXT""}","{""ImportId"":""QID586_TEXT""}","{""ImportId"":""QID587_TEXT""}","{""ImportId"":""QID588_TEXT""}","{""ImportId"":""QID624""}","{""ImportId"":""QID705""}","{""ImportId"":""QID706""}","{""ImportId"":""QID662""}","{""ImportId"":""QID663""}","{""ImportId"":""QID664""}","{""ImportId"":""QID665""}","{""ImportId"":""QID666""}","{""ImportId"":""QID626_PAGE_SUBMIT""}","{""ImportId"":""QID628_TEXT""}","{""ImportId"":""QID629_TEXT""}","{""ImportId"":""QID683_TEXT""}","{""ImportId"":""QID684_TEXT""}","{""ImportId"":""QID685_TEXT""}","{""ImportId"":""QID686_TEXT""}","{""ImportId"":""QID687_TEXT""}","{""ImportId"":""QID688_TEXT""}","{""ImportId"":""QID689_TEXT""}","{""ImportId"":""QID690_TEXT""}","{""ImportId"":""QID691_TEXT""}","{""ImportId"":""QID692_TEXT""}","{""ImportId"":""QID693_TEXT""}","{""ImportId"":""QID694_TEXT""}","{""ImportId"":""QID695_TEXT""}","{""ImportId"":""QID696_TEXT""}","{""ImportId"":""QID697_TEXT""}","{""ImportId"":""QID698_TEXT""}","{""ImportId"":""QID622""}","{""ImportId"":""QID709""}","{""ImportId"":""QID710""}","{""ImportId"":""QID669""}","{""ImportId"":""QID670""}","{""ImportId"":""QID671""}","{""ImportId"":""QID672""}","{""ImportId"":""QID673""}","{""ImportId"":""QID716_PAGE_SUBMIT""}","{""ImportId"":""QID718_TEXT""}","{""ImportId"":""QID719_TEXT""}","{""ImportId"":""QID637_TEXT""}","{""ImportId"":""QID638_TEXT""}","{""ImportId"":""QID639_TEXT""}","{""ImportId"":""QID640_TEXT""}","{""ImportId"":""QID641_TEXT""}","{""ImportId"":""QID642_TEXT""}","{""ImportId"":""QID643_TEXT""}","{""ImportId"":""QID644_TEXT""}","{""ImportId"":""QID645_TEXT""}","{""ImportId"":""QID646_TEXT""}","{""ImportId"":""QID647_TEXT""}","{""ImportId"":""QID648_TEXT""}","{""ImportId"":""QID649_TEXT""}","{""ImportId"":""QID650_TEXT""}","{""ImportId"":""QID651_TEXT""}","{""ImportId"":""QID652_TEXT""}","{""ImportId"":""QID630""}","{""ImportId"":""QID713""}","{""ImportId"":""QID714""}","{""ImportId"":""QID721""}","{""ImportId"":""QID722""}"
3/29/2021 10:59,3/29/2021 11:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/2021 11:40,3/30/2021 12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/2021 13:11,3/30/2021 13:21,1986,,"Advanced degree (Master's, Doctorate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/2021 14:58,3/30/2021 15:01,1985,,Some college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/2021 15:40,3/30/2021 16:31,1991,,Bachelor's degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,edible,They were aloof toward the humans who were observing them.,introduce a scientific principle in order to show how an experiment’s outcomes validated that principle.,The figurative language employed by these scientists implies a fundamentally riveting reading,consciously manipulated the birds’ surroundings.,185.02,14,arrow tongue spot tongue spot scales nose ,87,27,37,10,73,20,5,5,99,22,2,99,28,27,73,37,,IM_6ujm5JdaXwwxXXo,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/2021 18:03,3/30/2021 19:22,India,,"Advanced degree (Master's, Doctorate)",natural,They ignored the actions they saw performed around them.,offer interpretive context in order to frame the discussion of an experiment and its results. ,"The author's scintillating use of the word ""conspicuous"" in passage 2 suggests the Ravens' recalcitrant nature",intentionally made the birds aware of his presence.,3,"Rod, Circle, Rocket",185.076,81,90,27,47,20,33,40,50,99,50,3,2,99,30,40,50,,IM_cMWMc2dWJzguIuy,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/2021 19:26,3/30/2021 20:13,1997,Graduate Student,Bachelor's degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Just the right amount of time given,Fairly Difficult
3/31/2021 0:27,3/31/2021 0:42,Taiwan,Graduate Student,"Advanced degree (Master's, Doctorate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Just the right amount of time given,Fairly Easy
