,time_of_day,dob,student_status,RC_1,RC_2,RC_3,RC_4,RC_5,Diff_timing,Diff_found,Diff_found_list,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14,M_15,M_16,Pattern_1,Liar_check,group,RC_score,Diff_score,M_score,Pattern_score,Liar_score,Big_liar_score,nighttime,Score
0,18,,,0,0,1,0,1,185.076,3,"Rod, Circle, Rocket",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,light_mode,0.5,0.2,0.125,0,0.5,1,False,0.20625
2,20,1990,Undergraduate Student,0,0,0,1,0,130.31,5,"rocket,pot",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,light_mode,0.0,0.3333333333333333,1.0,1,1.0,1,True,0.5833333333333333
5,22,1993,Staff,0,0,0,0,0,130.111,7,"eye, sneeze effect , lizard Tung ,rocket,",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,light_mode,0.0,0.4666666666666667,0.875,1,0.5,1,True,0.5854166666666667
6,23,1995,Staff,1,0,0,0,1,198.405,3,"animal,pencil,stones",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,light_mode,0.5,0.2,1.0,0,0.5,1,True,0.425
7,0,1989,Undergraduate Student,1,0,0,0,0,260.224,2,book smile scale,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,light_mode,0.25,0.13333333333333333,1.0,0,0.5,1,True,0.3458333333333333
9,4,1999,Undergraduate Student,0,1,0,1,0,65.113,6,Eye,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,light_mode,0.25,0.4,1.0,1,1.0,1,True,0.6625
11,8,1985,Faculty,0,0,1,0,0,130.134,8,rocket,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,light_mode,0.25,0.5333333333333333,1.0,0,0.5,1,False,0.4458333333333333
12,20,2000,Undergraduate Student,1,1,0,1,1,99.419,8,added,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,light_mode,0.75,0.5333333333333333,0.5625,1,1.0,1,True,0.7114583333333333
13,21,1999,Undergraduate Student,0,0,0,0,0,65.11,1,firework,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,light_mode,0.0,0.06666666666666667,0.375,0,0.5,1,True,0.11041666666666666
14,22,2000,Undergraduate Student,0,0,1,1,0,66.688,7,"red, highlight, rocket, mashtach, ",1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,light_mode,0.25,0.4666666666666667,0.875,0,1.0,1,True,0.3979166666666667
15,12,1999,Undergraduate Student,0,1,0,0,1,86.818,7,"pattterns, objects and shape",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,light_mode,0.5,0.4666666666666667,0.0,0,0.5,1,False,0.24166666666666667
16,18,1998,Undergraduate Student,0,1,0,0,0,63.852,3,"lizard, taco, spot, ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,light_mode,0.25,0.2,1.0,1,0.5,1,False,0.6125
17,18,2000,Undergraduate Student,1,1,1,1,0,130.217,6,mark,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,light_mode,0.75,0.4,0.0625,1,1.0,1,False,0.553125
18,18,2000,Undergraduate Student,1,1,0,1,0,62.439,5,"eye, bulb, pencil, bulb2, lizard",1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,light_mode,0.5,0.3333333333333333,0.8125,1,1.0,1,False,0.6614583333333333
19,18,1997,Graduate Student,1,0,1,1,0,130.16,8,"bulbs, bat, lizard",0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,light_mode,0.5,0.5333333333333333,0.75,1,1.0,1,False,0.6958333333333333
20,18,2001,Undergraduate Student,1,0,1,1,0,111.441,8,"globe, star, eye, heart, tongue, crumbs, sphere, rocket",1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,light_mode,0.5,0.5333333333333333,0.6875,0,1.0,1,False,0.4302083333333333
21,18,2001,Undergraduate Student,1,1,0,1,1,109.701,7,"Shines, mouth, crumbs, whisker, shines, eye, bellybutton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,light_mode,0.75,0.4666666666666667,0.0,0,1.0,1,False,0.3041666666666667
22,18,2001,Undergraduate Student,1,1,1,0,1,65.107,3,"eye,pencil,firework",1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,light_mode,1.0,0.2,0.375,0,0.5,1,False,0.39375
23,19,2000,Undergraduate Student,0,0,0,0,0,65.009,2,"lizard, heart, ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,light_mode,0.0,0.13333333333333333,0.0625,1,0.5,1,False,0.2989583333333333
24,18,2001,Undergraduate Student,1,1,0,0,1,65.11,20,"Heart, circle, circle, sca",1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,light_mode,0.75,1.3333333333333333,0.875,0,0.5,1,False,0.7395833333333333
25,19,2000,Undergraduate Student,0,1,0,1,0,93.997,5,"hear, wand, rocket, pencil lead, ",1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,light_mode,0.25,0.3333333333333333,0.6875,0,1.0,1,False,0.3177083333333333
26,18,1998,Graduate Student,1,1,0,1,0,112.505,5,"tongue, eyeball, star, rocket, navel, ",1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,light_mode,0.5,0.3333333333333333,0.8125,1,1.0,1,False,0.6614583333333333
27,19,2000,Undergraduate Student,1,0,0,0,1,41.42,3,"firecracker, line, spot",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,light_mode,0.5,0.2,1.0,0,0.5,1,False,0.425
28,18,1995,Graduate Student,1,1,0,1,1,65.017,3,"eye,lizard,star",0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,light_mode,0.75,0.2,0.4375,0,1.0,1,False,0.346875
29,19,1999,Undergraduate Student,1,1,1,1,0,181.711,10,"baloon, gecko, eye, star, rocket, belly, taco, alien, joystick, cat",0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,light_mode,0.75,0.6666666666666666,0.5,0,1.0,1,False,0.47916666666666663
30,19,2000,Undergraduate Student,0,1,1,0,0,65.009,6,circle dot eye mark,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,light_mode,0.5,0.4,1.0,1,0.5,1,False,0.725
31,19,1993,Undergraduate Student,1,1,0,1,0,65.149,4,"Tongue , toy, crane, rocket",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,light_mode,0.5,0.26666666666666666,0.125,0,1.0,1,False,0.22291666666666665
32,20,2000,Undergraduate Student,1,1,0,0,0,65.009,4,"tongue, eyeball, rocket, belly",0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,light_mode,0.5,0.26666666666666666,0.25,1,0.5,1,True,0.5041666666666667
33,19,2000,Undergraduate Student,0,1,0,0,1,121.487,4,arrow and dots swirl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,light_mode,0.5,0.26666666666666666,0.125,0,0.5,1,False,0.22291666666666665
34,19,1999,Undergraduate Student,0,0,1,0,0,65.098,6,"eyes, reflection, ",0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,light_mode,0.25,0.4,0.4375,1,0.5,1,False,0.521875
35,20,,Undergraduate Student,0,1,0,0,1,106.913,4,"top right chick color, star on mid left, stick on lizard, big main ball bubble extra on right",1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,light_mode,0.5,0.26666666666666666,0.3125,0,0.5,1,True,0.26979166666666665
36,20,1998,Undergraduate Student,1,1,1,1,0,65.008,4,"chameleons tongue, rocket on th",1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,light_mode,0.75,0.26666666666666666,0.625,1,1.0,1,True,0.6604166666666667
37,19,2001,Undergraduate Student,0,0,0,1,0,48.169,1,Rocket,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,light_mode,0.0,0.06666666666666667,0.0625,1,1.0,1,False,0.28229166666666666
38,19,1970,Undergraduate Student,1,1,0,0,1,65.114,2,Rock,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,light_mode,0.75,0.13333333333333333,0.4375,1,0.5,1,False,0.5802083333333333
39,20,2002,Undergraduate Student,1,0,1,0,1,65.008,8,"eye, spots, lines, cross mouth, ",1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,light_mode,0.75,0.5333333333333333,0.5625,1,0.5,1,True,0.7114583333333333
40,20,2001,Undergraduate Student,1,1,0,1,0,122.18,6,"circle, hair, rocket, scales, star, ton",1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,light_mode,0.5,0.4,0.5,1,1.0,1,True,0.6
41,20,1998,Undergraduate Student,1,1,0,1,0,130.022,7,"claw, heart, star, pencil, chameleon, surfer, lightbulb",1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,light_mode,0.5,0.4666666666666667,0.5,1,1.0,1,True,0.6166666666666667
42,21,1999,Undergraduate Student,1,1,1,0,1,65.009,4,"tongue, lightbulb, rocket, pencil",1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,light_mode,1.0,0.26666666666666666,0.875,1,0.5,1,True,0.7854166666666667
43,21,2001,Undergraduate Student,1,1,0,1,1,86.542,4,"heart, tongue, ball spots, ball spots bottom, ",0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,light_mode,0.75,0.26666666666666666,0.5625,1,1.0,1,True,0.6447916666666667
44,19,1999,Undergraduate Student,0,1,0,0,1,304.584,5,"details, eyes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,light_mode,0.5,0.3333333333333333,0.0,1,0.5,1,False,0.4583333333333333
45,18,1996,Undergraduate Student,1,1,1,0,0,99.299,8,"poop, reflections, eyes, rocket, eye",0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,light_mode,0.75,0.5333333333333333,0.5625,1,0.5,1,False,0.7114583333333333
46,18,1998,Undergraduate Student,1,1,0,0,1,109.164,2,"tongue, star",0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,light_mode,0.75,0.13333333333333333,0.3125,0,0.5,1,False,0.2989583333333333
47,22,1999,Undergraduate Student,1,0,1,1,1,65.109,4,"tongue, circle, ",0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,light_mode,0.75,0.26666666666666666,0.5625,1,1.0,1,True,0.6447916666666667
48,20,1998,Undergraduate Student,0,0,1,1,0,260.039,5,"tooth, reflection, heart spots, star mouth, lightbulb eye,taco crumb, tongue, pencil shine, fire cracker, eyeball reflection again, cat whisker, bell",0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,light_mode,0.25,0.3333333333333333,0.5625,1,1.0,1,True,0.5364583333333333
49,11,1999,Undergraduate Student,1,1,0,0,0,65.014,4,"claw bubble, heart bubbles, star bubbles, lizard tongue, taco filling, joystick bubble, ",1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,light_mode,0.5,0.26666666666666666,0.5625,1,0.5,1,False,0.5822916666666667
50,19,2000,Undergraduate Student,0,1,1,1,1,130.017,5,"circle, stick, marks, triangle, mark, whisker, spill, eye, star, ",1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,light_mode,0.75,0.3333333333333333,0.8125,1,1.0,1,False,0.7239583333333333
51,19,1993,Staff,1,1,1,0,1,65.112,11,"star bandaid, rocket, straw",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,light_mode,1.0,0.7333333333333333,0.1875,0,0.5,1,False,0.48020833333333335
52,20,2001,Undergraduate Student,1,0,1,1,1,112.83,7,"heart, stars, eyes, alien belly button, pencil, taco trail ",1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,light_mode,0.75,0.4666666666666667,0.3125,1,1.0,1,True,0.6322916666666667
53,3,2001,Undergraduate Student,1,1,1,1,1,65.107,1,crumbs,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,light_mode,1.0,0.06666666666666667,0.625,0,1.0,1,True,0.42291666666666666
